Location,Other Location Details,Full Location Details,Size,Bedrooms,Bathrooms,Property Type,Purchase Type,Price,Site
"Kantafu Market, Along Kangundo Road, Joska Nairobi","Kantafu Market, Along Kangundo Road, Joska Nairobi","Kantafu Market, Along Kangundo Road, Joska Nairobi,Kantafu Market, Along Kangundo Road, Joska Nairobi",None,0,0,Other,Sale,"KSh 800,000",propertypro
"Utawala Complex Eastern Bypass, Utawala Nairobi","Utawala Complex Eastern Bypass, Utawala Nairobi","Utawala Complex Eastern Bypass, Utawala Nairobi,Utawala Complex Eastern Bypass, Utawala Nairobi",None,0,0,Other,Sale,"KSh 2,100,000",propertypro
"Utawala Complex Eastern Bypass, Utawala Nairobi","Utawala Complex Eastern Bypass, Utawala Nairobi","Utawala Complex Eastern Bypass, Utawala Nairobi,Utawala Complex Eastern Bypass, Utawala Nairobi",None,0,0,Other,Sale,"KSh 2,100,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,3,4,Apartment,Sale,"KSh 11,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 5,500,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Lavington Nairobi,Lavington Nairobi,"Lavington Nairobi,Lavington Nairobi",None,2,3,Apartment,Sale,"KSh 7,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,2,2,Apartment,Sale,"KSh 9,000,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,4,4,House,Sale,"KSh 14,000,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 4,500,000",propertypro
Kileleshwa Nairobi,Kileleshwa Nairobi,"Kileleshwa Nairobi,Kileleshwa Nairobi",None,1,1,Apartment,Sale,"KSh 5,500,000",propertypro
"Sabaki, Nairobi Central Nairobi","Sabaki, Nairobi Central Nairobi","Sabaki, Nairobi Central Nairobi,Sabaki, Nairobi Central Nairobi",None,2,2,Apartment,Sale,"KSh 5,500,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,0,0,Other,Sale,"KSh 20,000,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,4,4,House,Sale,"KSh 12,000,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,3,3,House,Sale,"KSh 8,500,000",propertypro
Nyayo Highrise Nairobi,Nyayo Highrise Nairobi,"Nyayo Highrise Nairobi,Nyayo Highrise Nairobi",None,3,3,House,Sale,"KSh 8,500,000",propertypro
Syokimau Nairobi,Syokimau Nairobi,"Syokimau Nairobi,Syokimau Nairobi",None,None,None,Other,Sale,"KSh 9,000,000",propertypro
Parklands Nairobi,Parklands Nairobi,"Parklands Nairobi,Parklands Nairobi",None,0,0,Other,Sale,"KSh 400,000,000",propertypro
Riverside Nairobi,Riverside Nairobi,"Riverside Nairobi,Riverside Nairobi",None,3,3,Apartment,Sale,"KSh 30,000,000",propertypro
Kiambu Road Nairobi,Kiambu Road Nairobi,"Kiambu Road Nairobi,Kiambu Road Nairobi",None,4,4,House,Sale,"KSh 88,000,000",propertypro
Kilimani Nairobi,Kilimani Nairobi,"Kilimani Nairobi,Kilimani Nairobi",None,0,0,Other,Sale,"KSh 340,000,000",propertypro
Kiambu Road Nairobi,Kiambu Road Nairobi,"Kiambu Road Nairobi,Kiambu Road Nairobi",None,0,0,Other,Sale,"KSh 130,000,000",propertypro
Kitisuru Nairobi,Kitisuru Nairobi,"Kitisuru Nairobi,Kitisuru Nairobi",None,4,4,House,Sale,"KSh 65,000,000",propertypro
Hurlingham Nairobi,Hurlingham Nairobi,"Hurlingham Nairobi,Hurlingham Nairobi",None,0,0,Other,Sale,"KSh 120,000,000",propertypro
